time	V(N001,N002)	V(n004)
6.337253376709751e-003	-1.137489e-002	2.768692e+000
6.347019001709752e-003	-6.471366e-003	2.598302e+000
6.356784626709752e-003	-2.974577e-003	2.411613e+000
6.366550251709752e-003	-8.818749e-004	2.222401e+000
6.374877003752614e-003	-2.489937e-004	2.068784e+000
6.382454284543286e-003	-7.286845e-004	1.943240e+000
6.392219909543286e-003	-2.699330e-003	1.805650e+000
6.401985534543285e-003	-6.049365e-003	1.695981e+000
6.411751159543285e-003	-1.081249e-002	1.616024e+000
6.421516784543286e-003	-1.691705e-002	1.563989e+000
6.431282409543286e-003	-2.427122e-002	1.536701e+000
6.441048034543285e-003	-3.276441e-002	1.530261e+000
6.450813659543285e-003	-4.226887e-002	1.540550e+000
6.460579284543286e-003	-5.264169e-002	1.563623e+000
6.470344909543286e-003	-6.372678e-002	1.596003e+000
6.480110534543285e-003	-7.535732e-002	1.634848e+000
6.489876159543285e-003	-8.735859e-002	1.677987e+000
6.499641784543286e-003	-9.955001e-002	1.723868e+000
6.509407409543286e-003	-1.117481e-001	1.771439e+000
6.519173034543285e-003	-1.237694e-001	1.820020e+000
6.528938659543285e-003	-1.354332e-001	1.869199e+000
6.538704284543285e-003	-1.465640e-001	1.918735e+000
6.548469909543286e-003	-1.569946e-001	1.968474e+000
6.558235534543285e-003	-1.665678e-001	2.018310e+000
6.568001159543285e-003	-1.751397e-001	2.068196e+000
6.577766784543285e-003	-1.825817e-001	2.118115e+000
6.587532409543286e-003	-1.887813e-001	2.168062e+000
6.597298034543286e-003	-1.936455e-001	2.218035e+000
6.607063659543285e-003	-1.971011e-001	2.268038e+000
6.616829284543285e-003	-1.991451e-001	2.318072e+000
6.625331328675694e-003	-1.997378e-001	2.361661e+000
6.633039508020906e-003	-1.991923e-001	2.401208e+000
6.642805133020907e-003	-1.971378e-001	2.451349e+000
6.652570758020907e-003	-1.937015e-001	2.501529e+000
6.662336383020906e-003	-1.888556e-001	2.551748e+000
6.672102008020906e-003	-1.826735e-001	2.602000e+000
6.681867633020907e-003	-1.752477e-001	2.652272e+000
6.691633258020907e-003	-1.666901e-001	2.702538e+000
6.701398883020906e-003	-1.571298e-001	2.752759e+000
6.711164508020906e-003	-1.467097e-001	2.802856e+000
6.720930133020907e-003	-1.355870e-001	2.852680e+000
6.730695758020907e-003	-1.239291e-001	2.901932e+000
6.740461383020906e-003	-1.119115e-001	2.950133e+000
6.750227008020906e-003	-9.971464e-002	2.996482e+000
6.759992633020907e-003	-8.752191e-002	3.039598e+000
6.769758258020907e-003	-7.551694e-002	3.077189e+000
6.779523883020906e-003	-6.388009e-002	3.105685e+000
6.789289508020906e-003	-5.278653e-002	3.119923e+000
6.799055133020906e-003	-4.240310e-002	3.113186e+000
6.808820758020907e-003	-3.288597e-002	3.077970e+000
6.818586383020906e-003	-2.437827e-002	3.007711e+000
6.828352008020906e-003	-1.700801e-002	2.899193e+000
6.838117633020906e-003	-1.088595e-002	2.754655e+000
6.847883258020907e-003	-6.104246e-003	2.582344e+000
6.857648883020906e-003	-2.734799e-003	2.394968e+000
6.867414508020906e-003	-8.282922e-004	2.206897e+000
6.877180133020906e-003	-3.789845e-004	2.030635e+000
6.886049779648588e-003	-1.300553e-003	1.890006e+000
6.895815404648588e-003	-3.764726e-003	1.762162e+000
6.905581029648588e-003	-7.642031e-003	1.663483e+000
6.915346654648588e-003	-1.290847e-002	1.594076e+000
6.925112279648588e-003	-1.948482e-002	1.551551e+000
6.934877904648588e-003	-2.727219e-002	1.532400e+000
6.944643529648588e-003	-3.615344e-002	1.532588e+000
6.954409154648588e-003	-4.599500e-002	1.548016e+000
6.964174779648588e-003	-5.664873e-002	1.574885e+000
6.973940404648588e-003	-6.795442e-002	1.609936e+000
6.983706029648588e-003	-7.974231e-002	1.650578e+000
6.993471654648588e-003	-9.183478e-002	1.694877e+000
7.003237279648588e-003	-1.040499e-001	1.741480e+000
7.013002904648588e-003	-1.162043e-001	1.789485e+000
7.022768529648588e-003	-1.281149e-001	1.838333e+000
7.032534154648588e-003	-1.396027e-001	1.887691e+000
7.042299779648588e-003	-1.504946e-001	1.937341e+000
7.052065404648588e-003	-1.606269e-001	1.987131e+000
7.061831029648588e-003	-1.698475e-001	2.036988e+000
7.071596654648588e-003	-1.780174e-001	2.086887e+000
7.081362279648588e-003	-1.850138e-001	2.136817e+000
7.091127904648588e-003	-1.907318e-001	2.186773e+000
7.100893529648588e-003	-1.950848e-001	2.236756e+000
7.110659154648587e-003	-1.980078e-001	2.286770e+000
7.120424779648588e-003	-1.994565e-001	2.336818e+000
7.130190404648588e-003	-1.994090e-001	2.386904e+000
7.139956029648588e-003	-1.978667e-001	2.437030e+000
7.149721654648588e-003	-1.948521e-001	2.487198e+000
7.159487279648588e-003	-1.904113e-001	2.537406e+000
7.169252904648588e-003	-1.846104e-001	2.587650e+000
7.179018529648588e-003	-1.775365e-001	2.637917e+000
7.188784154648588e-003	-1.692965e-001	2.688189e+000
7.198549779648588e-003	-1.600144e-001	2.738428e+000
7.208315404648588e-003	-1.498294e-001	2.788572e+000
7.218081029648588e-003	-1.388950e-001	2.838491e+000
7.227846654648588e-003	-1.273754e-001	2.887935e+000
7.237612279648588e-003	-1.154442e-001	2.936497e+000
7.247377904648588e-003	-1.032807e-001	2.983495e+000
7.257143529648588e-003	-9.106767e-002	3.027743e+000
7.266909154648588e-003	-7.898915e-002	3.067250e+000
7.276674779648588e-003	-6.722653e-002	3.098856e+000
7.286440404648588e-003	-5.595696e-002	3.117881e+000
7.296206029648588e-003	-4.534966e-002	3.118021e+000
7.305971654648588e-003	-3.556436e-002	3.091867e+000
7.315737279648588e-003	-2.674824e-002	3.032349e+000
7.325502904648588e-003	-1.903385e-002	2.935018e+000
7.335268529648588e-003	-1.253730e-002	2.800359e+000
7.345034154648588e-003	-7.356197e-003	2.634904e+000
7.354799779648587e-003	-3.568526e-003	2.450355e+000
7.364565404648588e-003	-1.160564e-003	2.260294e+000
7.372485726166171e-003	-3.334391e-004	2.112099e+000
7.381565228183644e-003	-6.884681e-004	1.958367e+000
7.391330853183644e-003	-2.466436e-003	1.817265e+000
7.401096478183644e-003	-5.684994e-003	1.704856e+000
7.410862103183644e-003	-1.032211e-002	1.622229e+000
7.420627728183644e-003	-1.630805e-002	1.567758e+000
7.430393353183644e-003	-2.355281e-002	1.538366e+000
7.440158978183644e-003	-3.194731e-002	1.530194e+000
7.449924603183644e-003	-4.136544e-002	1.539125e+000
7.459690228183644e-003	-5.166543e-002	1.561185e+000
7.469455853183644e-003	-6.269234e-002	1.592845e+000
7.479221478183644e-003	-7.428050e-002	1.631199e+000
7.488987103183644e-003	-8.625531e-002	1.674020e+000
7.498752728183644e-003	-9.843695e-002	1.719701e+000
7.508518353183643e-003	-1.106421e-001	1.767151e+000
7.518283978183644e-003	-1.226871e-001	1.815661e+000
7.528049603183644e-003	-1.343908e-001	1.864799e+000
7.537815228183644e-003	-1.455772e-001	1.914313e+000
7.547580853183643e-003	-1.560781e-001	1.964041e+000
7.557346478183644e-003	-1.657355e-001	2.013871e+000
7.567112103183644e-003	-1.744041e-001	2.063754e+000
7.576877728183644e-003	-1.819539e-001	2.113670e+000
7.586643353183644e-003	-1.882708e-001	2.163614e+000
7.596408978183644e-003	-1.932600e-001	2.213585e+000
7.606174603183644e-003	-1.968462e-001	2.263585e+000
7.615940228183644e-003	-1.990459e-001	2.313615e+000
